"","type","cov.PERMA_A1_1","cov.PERMA_A2_1","cov.PERMA_A3_1","cov.PERMA_E1_1","cov.PERMA_E2_1","cov.PERMA_E3_1","cov.PERMA_P1_1","cov.PERMA_P2","cov.PERMA_P3_1","cov.PERMA_R1_1","cov.PERMA_R2_1","cov.PERMA_R3_1","cov.PERMA_M1_1","cov.PERMA_M2_1","cov.PERMA_M3_1","cov.PERMA_N1_1","cov.PERMA_N2_1","cov.PERMA_N3_1","cov.PERMA_Hea1_1","cov.PERMA_Hea2_1","cov.PERMA_Hea3_1","cov.PERMA_Lone_1","cov.PERMA_HPY_1","mean"
"PERMA_A1_1","standardized",NA,1.1867721806999,-1.28694456817626,-1.03935144081265,1.74393835356371,-4.74662086870853,-3.97659947549873,-1.11947286907929,3.22649746802141,1.26671004606589,-1.02301682655167,0.562726911567659,NA,NA,NA,0.833970310676173,-1.0315299023853,-1.05515374066633,NA,NA,NA,-0.383901223694218,0.787047414606589,NA
"PERMA_A2_1","standardized",1.1867721806999,0,-0.00799437190175581,0.449881801848042,-0.695715595085841,-2.76117505807571,-2.77131578508069,-0.54783207360847,2.40375583958614,0.455701666906044,-1.39233587068389,0.566532800712564,NA,NA,NA,1.25185053319166,0.222040370736166,1.77613677428608,NA,NA,NA,0.420160943956474,-2.88327800567314,0
"PERMA_A3_1","standardized",-1.28694456817626,-0.00799437190175171,NA,1.89500423629589,2.19642934918056,-0.0366080889718043,1.26512386625742,1.72498346496742,1.43909660879341,0.191605792613093,-1.51894373910605,1.41359550465072,NA,NA,NA,-0.155884998053791,-0.867665007578104,-1.0448981481974,NA,NA,NA,0.0076883843511656,1.80370474868755,NA
"PERMA_E1_1","standardized",-1.03935144081265,0.449881801848042,1.89500423629589,0,-3.41129298096826,4.12518864252852,-2.97126263231233,-2.83061585864558,1.09165885340161,0.996560255423438,-0.866812176451907,0.544833223220667,-3.53896117679711,NA,-4.62839991043995,1.95686065204194,0.460544611983075,1.41829936147948,NA,NA,NA,3.21857287159816,-2.47002715195537,0
"PERMA_E2_1","standardized",1.74393835356371,-0.695715595085841,2.19642934918056,-3.41129298096826,0,-0.432453749398695,1.6259040035461,2.49379482187976,0.283374256340766,1.36292013750825,-1.31765937334284,-0.367492087245743,NA,NA,NA,0.0621827892254121,-0.323681002785058,-3.25079539400503,NA,NA,NA,-3.99873530043723,2.68122519057345,0
"PERMA_E3_1","standardized",-4.74662086870853,-2.76117505807571,-0.0366080889718056,4.12518864252852,-0.432453749398695,0,-0.68525612438455,-0.356011443232872,-0.652933988089702,0.110036062881406,-0.36094107671567,0.707422872321858,-1.65938713142874,-1.39470063629417,-2.72930044321413,1.50876643658959,0.962498615516942,-0.161073482118724,0.477398626648032,3.42424810391387,1.21686822889323,1.30907781517511,-0.691803926304183,0
"PERMA_P1_1","standardized",-3.97659947549873,-2.77131578508069,1.26512386625742,-2.97126263231233,1.6259040035461,-0.68525612438455,0,3.88186512104753,-2.06673856402293,-3.03669841870597,0.512390401386076,2.40282359975194,NA,NA,NA,0.919485082815004,-0.976316199146267,-2.38249578046306,NA,NA,NA,-0.177264838345283,0.259389244584022,0
"PERMA_P2","standardized",-1.11947286907929,-0.54783207360847,1.72498346496742,-2.83061585864558,2.49379482187976,-0.356011443232872,3.88186512104753,0,-4.74970992994221,1.42650116880874,-3.27804425595299,-3.39430642501985,NA,NA,NA,1.05836171061404,0.7289540530376,-1.36332376517729,NA,NA,NA,0.170301037694258,0.167082325948719,0
"PERMA_P3_1","standardized",3.22649746802141,2.40375583958614,1.43909660879341,1.09165885340161,0.283374256340766,-0.652933988089703,-2.06673856402293,-4.74970992994222,0,1.52460096944386,1.75211464260298,2.53486826338941,NA,NA,3.58713653571253,0.730786221903116,0.488559826087833,2.55027017096194,NA,NA,NA,0.00406695119257998,-0.680621811369314,0
"PERMA_R1_1","standardized",1.26671004606589,0.455701666906044,0.191605792613093,0.996560255423438,1.36292013750825,0.110036062881406,-3.03669841870597,1.42650116880874,1.52460096944386,NA,0.578434115383481,-2.84702481360712,1.20079459202253,-5.51430947560966,-0.601429235398658,1.14899158828162,0.0787389325328004,1.86095896492655,NA,1.98632142550494,NA,1.4965547493427,-0.207979495647579,NA
"PERMA_R2_1","standardized",-1.02301682655167,-1.39233587068389,-1.51894373910605,-0.866812176451907,-1.31765937334284,-0.36094107671567,0.512390401386076,-3.27804425595299,1.75211464260298,0.578434115383481,NA,1.89852784314144,6.84058441280938,NA,5.19787107605258,-0.376272492750332,-0.0944177819161609,-1.37602273705589,NA,NA,NA,-1.29461129540164,1.22839917381937,NA
"PERMA_R3_1","standardized",0.562726911567659,0.566532800712564,1.41359550465072,0.544833223220667,-0.367492087245747,0.707422872321856,2.40282359975194,-3.39430642501986,2.53486826338941,-2.84702481360712,1.89852784314144,0,1.07807148563941,-5.04290865232552,-10.6523105345091,0.920970663888272,-0.406318132634438,-0.901738590773015,NA,NA,NA,0.0228579666079331,-1.20858089108546,0
"PERMA_M1_1","standardized",NA,NA,NA,-3.53896117679711,NA,-1.65938713142874,NA,NA,NA,1.20079459202253,6.84058441280938,1.07807148563941,NA,NA,NA,0.229344125139219,-1.37523794206791,-3.14073028106132,NA,NA,NA,NA,NA,NA
"PERMA_M2_1","standardized",NA,NA,NA,NA,NA,-1.39470063629417,NA,NA,NA,-5.51430947560966,NA,-5.04290865232552,NA,NA,NA,2.89883910176217,-0.194587830230067,-2.9674405884976,NA,NA,NA,NA,NA,NA
"PERMA_M3_1","standardized",NA,NA,NA,-4.62839991043995,NA,-2.72930044321413,NA,NA,3.58713653571253,-0.601429235398658,5.19787107605258,-10.6523105345091,NA,NA,NA,3.09633320937667,0.271199451189054,0.298934772439509,NA,NA,NA,NA,NA,NA
"PERMA_N1_1","standardized",0.833970310676173,1.25185053319166,-0.155884998053791,1.95686065204194,0.0621827892254121,1.50876643658959,0.919485082815004,1.05836171061404,0.730786221903116,1.14899158828162,-0.376272492750332,0.920970663888272,0.229344125139219,2.89883910176217,3.09633320937667,0,2.33900291476373,-0.582584491359296,5.92579168753082,4.17812591436647,3.35419398492725,-0.00828506114782826,1.52294230334315,NA
"PERMA_N2_1","standardized",-1.0315299023853,0.222040370736166,-0.867665007578104,0.460544611983075,-0.323681002785058,0.962498615516942,-0.976316199146267,0.7289540530376,0.488559826087833,0.0787389325328004,-0.0944177819161609,-0.406318132634438,-1.37523794206791,-0.194587830230067,0.271199451189054,2.33900291476373,NA,-1.09722000339152,-1.50685703009912,-3.25298824913025,-2.58890091257192,-0.564860131225904,0.977627092399491,NA
"PERMA_N3_1","standardized",-1.05515374066633,1.77613677428608,-1.0448981481974,1.41829936147948,-3.25079539400503,-0.161073482118723,-2.38249578046306,-1.36332376517729,2.55027017096194,1.86095896492655,-1.37602273705589,-0.901738590773015,-3.14073028106132,-2.9674405884976,0.298934772439509,-0.582584491359296,-1.09722000339152,0,0.187205029397338,-1.94492676188455,3.84793424613936,0.591027507026468,-2.54773667379638,0
"PERMA_Hea1_1","standardized",NA,NA,NA,NA,NA,0.477398626648032,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92579168753082,-1.50685703009912,0.187205029397338,NA,NA,NA,NA,NA,NA
"PERMA_Hea2_1","standardized",NA,NA,NA,NA,NA,3.42424810391387,NA,NA,NA,1.98632142550494,NA,NA,NA,NA,NA,4.17812591436647,-3.25298824913025,-1.94492676188455,NA,NA,NA,NA,NA,NA
"PERMA_Hea3_1","standardized",NA,NA,NA,NA,NA,1.21686822889323,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35419398492725,-2.58890091257192,3.84793424613936,NA,NA,NA,NA,NA,NA
"PERMA_Lone_1","standardized",-0.383901223694218,0.420160943956474,0.0076883843511656,3.21857287159816,-3.99873530043723,1.30907781517511,-0.177264838345283,0.170301037694258,0.00406695119257998,1.4965547493427,-1.29461129540164,0.0228579666079331,NA,NA,NA,-0.00828506114782826,-0.564860131225904,0.591027507026468,NA,NA,NA,0,0,0
"PERMA_HPY_1","standardized",0.787047414606589,-2.88327800567314,1.80370474868755,-2.47002715195537,2.68122519057345,-0.691803926304183,0.259389244584022,0.167082325948719,-0.680621811369314,-0.207979495647579,1.22839917381937,-1.20858089108546,NA,NA,NA,1.52294230334315,0.977627092399491,-2.54773667379638,NA,NA,NA,0,0,0
